Metric,Mean,Std
Accuracy,0.7507931586022825,0.006905823194775744
Recall,0.6961997810970899,0.010337786320379651
F1-Score,0.6609492005978187,0.006510290747391555
ROC-AUC,0.8310350074629097,0.008405602636918382
