Metric,Mean,Std
Accuracy,0.8001189296333002,0.004121876268131759
Recall,0.4021540708287696,0.03907974198679448
F1-Score,0.3968435936404182,0.028251265888139407
ROC-AUC,0.7927315812149935,0.012179289589639227
