Metric,Mean,Std
Accuracy,0.9734559263656791,0.003924344367591474
Recall,0.05105263157894737,0.04593141943004511
F1-Score,0.07214854111405836,0.06545653820769096
ROC-AUC,0.8044704748370636,0.05516522168776346
