Metric,Mean,Std
Accuracy,0.6416430344719308,0.007150805121005041
Recall,0.5962995794976702,0.02034899116331701
F1-Score,0.5802518077907741,0.010735338821568454
ROC-AUC,0.7060543320600762,0.008177058660716115
