Metric,Mean,Std
Accuracy,0.7537623762376239,0.013545306336340358
Recall,0.6967417822290705,0.026398287917230014
F1-Score,0.6637314077495983,0.017553810562222338
ROC-AUC,0.8327276123080256,0.013438315629542138
