Metric,Mean,Std
Accuracy,0.6477840641206979,0.009259838601286801
Recall,0.617259056732741,0.02894951674837858
F1-Score,0.5926816409155077,0.014847432599947441
ROC-AUC,0.711958617653533,0.012796690995109099
