Metric,Mean,Std
Accuracy,0.9750404683325474,0.003331351242839789
Recall,0.04,0.066332495807108
F1-Score,0.053815987933635,0.08925187675419553
ROC-AUC,0.7979269849027915,0.06572957835976835
