Metric,Mean,Std
Accuracy,0.8013079522237939,0.006613167685057563
Recall,0.4191301792535998,0.04554274660385033
F1-Score,0.40802447240521744,0.028317939524076078
ROC-AUC,0.7930659175831751,0.013307403015569087
